username,encodedUsername,link,accountNumber,accountCreated,accountAge,linksRef
SimonElectric,SimonElectric,https://fark.com/users/SimonElectric,1014937,2017-10-12,4,None
fat boy,fat%20boy,https://fark.com/users/fat%20boy,142831,2004-03-02,17,102
runwiz,runwiz,https://fark.com/users/runwiz,626429,2011-01-06,10,155
xxBirdMadGirlxx,xxBirdMadGirlxx,https://fark.com/users/xxBirdMadGirlxx,354647,2007-08-09,14,None
Wine Sipping Elitist,Wine%20Sipping%20Elitist,https://fark.com/users/Wine%20Sipping%20Elitist,419340,2008-07-30,13,2
romulusnr,romulusnr,https://fark.com/users/romulusnr,11970,2001-10-19,20,None
Cheesehead_Dave,Cheesehead_Dave,https://fark.com/users/Cheesehead_Dave,259252,2005-11-26,16,313
Anoria,Anoria,https://fark.com/users/Anoria,513349,2009-11-10,12,4
Mr. Coffee Nerves,Mr.%20Coffee%20Nerves,https://fark.com/users/Mr.%20Coffee%20Nerves,95669,2003-06-16,18,64
dothemath,dothemath,https://fark.com/users/dothemath,376558,2007-12-17,14,None
Packard Walsh,Packard%20Walsh,https://fark.com/users/Packard%20Walsh,770633,2012-04-03,9,None
raulzero,raulzero,https://fark.com/users/raulzero,372228,2007-11-21,14,None
Brian Blessed's Bastard Boy,Brian%20Blessed%27s%20Bastard%20Boy,https://fark.com/users/Brian%20Blessed%27s%20Bastard%20Boy,792865,2012-06-15,9,5
Mock26,Mock26,https://fark.com/users/Mock26,451880,2009-01-12,12,41
Madman drummers bummers,Madman%20drummers%20bummers,https://fark.com/users/Madman%20drummers%20bummers,347116,2007-06-26,14,22
macadamnut,macadamnut,https://fark.com/users/macadamnut,405451,2008-05-20,13,None
guestguy,guestguy,https://fark.com/users/guestguy,413430,2008-07-01,13,1
Mock26,Mock26,https://fark.com/users/Mock26,451880,2009-01-12,12,41
NM Volunteer,NM%20Volunteer,https://fark.com/users/NM%20Volunteer,1118916,2020-06-17,1,43
151,151,https://fark.com/users/151,90136,2003-05-10,18,13
Somaticasual,Somaticasual,https://fark.com/users/Somaticasual,390594,2008-03-01,13,7
Number 216,Number%20216,https://fark.com/users/Number%20216,490974,2009-08-04,12,109
OtherLittleGuy,OtherLittleGuy,https://fark.com/users/OtherLittleGuy,215513,2005-02-27,16,387
LordOfThePings,LordOfThePings,https://fark.com/users/LordOfThePings,25290,2002-02-26,19,10
White_Scarf_Syndrome,White_Scarf_Syndrome,https://fark.com/users/White_Scarf_Syndrome,285761,2006-05-13,15,None
Somaticasual,Somaticasual,https://fark.com/users/Somaticasual,390594,2008-03-01,13,7
doctorguilty,doctorguilty,https://fark.com/users/doctorguilty,283241,2006-04-26,15,47
ArcadianRefugee,ArcadianRefugee,https://fark.com/users/ArcadianRefugee,151269,2004-04-10,17,5
tom baker's scarf,tom%20baker%27s%20scarf,https://fark.com/users/tom%20baker%27s%20scarf,670170,2011-05-24,10,1
tom baker's scarf,tom%20baker%27s%20scarf,https://fark.com/users/tom%20baker%27s%20scarf,670170,2011-05-24,10,1
Arkanaut,Arkanaut,https://fark.com/users/Arkanaut,386168,2008-02-08,13,106
socalnewwaver,socalnewwaver,https://fark.com/users/socalnewwaver,53702,2002-09-10,19,444
Pista,Pista,https://fark.com/users/Pista,738468,2011-12-25,10,988
socalnewwaver,socalnewwaver,https://fark.com/users/socalnewwaver,53702,2002-09-10,19,444
Pista,Pista,https://fark.com/users/Pista,738468,2011-12-25,10,988
Madison_Smiled,Madison_Smiled,https://fark.com/users/Madison_Smiled,423030,2008-08-18,13,None
Pista,Pista,https://fark.com/users/Pista,738468,2011-12-25,10,988
socalnewwaver,socalnewwaver,https://fark.com/users/socalnewwaver,53702,2002-09-10,19,444
jasonvatch,jasonvatch,https://fark.com/users/jasonvatch,213064,2005-02-15,16,28
Madison_Smiled,Madison_Smiled,https://fark.com/users/Madison_Smiled,423030,2008-08-18,13,None
Uranus,Uranus,https://fark.com/users/Uranus,137459,2004-02-06,17,116
STRYPERSWINE,STRYPERSWINE,https://fark.com/users/STRYPERSWINE,50086,2002-08-16,19,1
ANDizzleWI,ANDizzleWI,https://fark.com/users/ANDizzleWI,1054351,2018-12-15,3,None
socalnewwaver,socalnewwaver,https://fark.com/users/socalnewwaver,53702,2002-09-10,19,444
Madison_Smiled,Madison_Smiled,https://fark.com/users/Madison_Smiled,423030,2008-08-18,13,None
socalnewwaver,socalnewwaver,https://fark.com/users/socalnewwaver,53702,2002-09-10,19,444
Pista,Pista,https://fark.com/users/Pista,738468,2011-12-25,10,988
west.la.lawyer,west.la.lawyer,https://fark.com/users/west.la.lawyer,1011072,2017-08-28,4,5
Uranus,Uranus,https://fark.com/users/Uranus,137459,2004-02-06,17,116
Madison_Smiled,Madison_Smiled,https://fark.com/users/Madison_Smiled,423030,2008-08-18,13,None
Lioness7,Lioness7,https://fark.com/users/Lioness7,1209584,2021-07-07,0,None
socalnewwaver,socalnewwaver,https://fark.com/users/socalnewwaver,53702,2002-09-10,19,444
Lioness7,Lioness7,https://fark.com/users/Lioness7,1209584,2021-07-07,0,None
Madison_Smiled,Madison_Smiled,https://fark.com/users/Madison_Smiled,423030,2008-08-18,13,None
Lioness7,Lioness7,https://fark.com/users/Lioness7,1209584,2021-07-07,0,None
Pista,Pista,https://fark.com/users/Pista,738468,2011-12-25,10,988
Madison_Smiled,Madison_Smiled,https://fark.com/users/Madison_Smiled,423030,2008-08-18,13,None
NeoMoxie,NeoMoxie,https://fark.com/users/NeoMoxie,427806,2008-09-10,13,2
ANDizzleWI,ANDizzleWI,https://fark.com/users/ANDizzleWI,1054351,2018-12-15,3,None
west.la.lawyer,west.la.lawyer,https://fark.com/users/west.la.lawyer,1011072,2017-08-28,4,5
socalnewwaver,socalnewwaver,https://fark.com/users/socalnewwaver,53702,2002-09-10,19,444
Pista,Pista,https://fark.com/users/Pista,738468,2011-12-25,10,988
pc_gator,pc_gator,https://fark.com/users/pc_gator,177064,2004-08-16,17,1
Pista,Pista,https://fark.com/users/Pista,738468,2011-12-25,10,988
djslowdive,djslowdive,https://fark.com/users/djslowdive,250444,2005-09-29,16,5
Pista,Pista,https://fark.com/users/Pista,738468,2011-12-25,10,988
pc_gator,pc_gator,https://fark.com/users/pc_gator,177064,2004-08-16,17,1
